Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
4,14.573,14.573,2,14.497,14.497,3,14.518,14.518,1,14.363,14.363
4,10.565,25.138,3,10.552,25.049,2,10.291,24.808,1,10.299,24.662
4,10.075,35.212,3,10.143,35.191,2,10.373,35.181,1,10.306,34.968
3,9.481,44.693,2,9.381,44.572,4,9.622,44.803,1,9.473,44.441
4,9.443,54.135,3,9.316,53.887,1,8.751,53.554,2,9.360,53.800
3,8.973,1:03.108,4,10.051,1:03.937,2,9.481,1:03.035,1,9.137,1:02.937
1,9.200,1:12.307,4,9.971,1:13.908,3,9.616,1:12.650,2,9.515,1:12.451
2,9.274,1:21.580,4,10.118,1:24.025,3,8.955,1:21.604,1,8.666,1:21.117
1,9.51,1:31.090,4,10.76,1:34.780,2,9.52,1:31.120,3,10.31,1:31.419
