Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Robin BENDIG POSITION,Robin BENDIG LAP TIME,Robin BENDIG ELAPSED TIME,PARK In Wook POSITION,PARK In Wook LAP TIME,PARK In Wook ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME
2,7.14,7.14,1,6.91,6.91,4,7.35,7.35,3,7.21,7.21,5,7.40,7.40
2,8.90,16.04,1,8.90,15.81,4,9.13,16.48,3,8.87,16.08,5,9.17,16.57
3,8.52,24.56,1,8.49,24.30,4,8.65,25.13,2,8.33,24.41,5,8.65,25.22
3,8.49,33.05,2,8.65,32.95,5,9.00,34.13,1,8.41,32.82,4,8.74,33.96
3,8.61,41.668,2,8.60,41.55,5,8.91,43.041,1,8.61,41.43,4,9.02,42.980
