Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
3,13.65,13.65,5,13.88,13.88,4,13.69,13.69,2,13.58,13.58,1,13.48,
2,10.46,24.11,5,10.53,24.41,3,10.49,24.18,1,10.34,23.92,4,10.80,
5,10.27,34.38,4,9.91,34.32,2,9.86,34.04,1,10.02,33.94,3,9.86,
5,10.11,44.49,4,9.84,44.16,2,9.85,43.89,1,9.83,43.77,3,9.84,
5,10.10,54.59,4,9.39,53.55,2,9.40,53.29,1,9.42,53.19,3,9.39,
5,10.70,1:05.29,4,9.18,1:02.73,2,9.24,1:02.53,1,9.19,1:02.38,3,9.24,
5,11.05,1:16.34,3,8.81,1:11.54,4,9.15,1:11.68,1,8.87,1:11.25,2,8.76,
5,11.53,1:27.87,3,8.80,1:20.34,4,9.11,1:20.79,1,8.88,1:20.13,2,8.78,
4,12.86,1:40.738,1,9.15,1:29.49,3,9.38,1:30.173,3,9.70,1:29.83,2,9.40,
