Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,CHOI Jung-Won POSITION,CHOI Jung-Won LAP TIME,CHOI Jung-Won ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
4,9.80,9.80,2,9.62,9.62,5,9.92,9.92,6,10.03,10.03,3,9.78,9.78,1,9.53,9.53
3,13.19,22.99,1,13.29,22.91,5,13.31,23.23,6,13.28,23.31,4,13.27,23.05,2,13.42,22.95
1,11.60,34.59,2,11.82,34.73,6,11.79,35.02,5,11.70,35.01,3,11.79,34.84,4,11.93,34.88
4,11.07,45.66,3,10.78,45.51,6,10.85,45.87,1,10.32,45.33,5,10.92,45.76,2,10.58,45.46
4,10.72,56.38,5,10.97,56.48,6,10.65,56.52,1,10.85,56.18,3,10.61,56.37,2,10.85,56.31
1,10.46,1:06.84,5,10.75,1:07.23,6,10.82,1:07.34,3,10.89,1:07.07,4,10.78,1:07.15,2,10.65,1:06.96
1,10.94,1:17.78,2,10.57,1:17.80,5,10.73,1:18.07,6,11.01,1:18.08,4,10.82,1:17.97,3,10.90,1:17.86
3,10.07,1:27.85,1,9.88,1:27.68,4,9.87,1:27.94,6,10.04,1:28.12,5,9.98,1:27.95,2,9.90,1:27.76
4,10.33,1:38.18,1,10.20,1:37.88,5,10.34,1:38.28,6,10.29,1:38.41,3,10.13,1:38.08,2,10.24,1:38.00
4,9.83,1:48.01,2,9.94,1:47.82,5,9.87,1:48.15,6,10.13,1:48.54,3,9.78,1:47.86,1,9.68,1:47.68
4,9.41,1:57.42,3,9.48,1:57.30,5,9.39,1:57.54,6,10.10,1:58.64,2,9.36,1:57.22,1,9.45,1:57.13
4,9.52,2:06.94,2,9.50,2:06.80,5,9.52,2:07.06,6,10.29,2:08.93,3,9.59,2:06.81,1,9.56,2:06.69
3,9.64,2:16.58,2,9.71,2:16.51,4,9.63,2:16.69,5,10.88,2:19.81,6,22.28,2:29.09,1,9.63,2:16.32
3,9.74,2:26.314,2,9.76,2:26.261,4,9.86,2:26.543,5,11.46,2:31.269,6,22.03,2:51.111,1,9.85,2:26.164
