LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
1,13.28,13.28,3,13.52,13.52,2,13.40,13.40,4,13.60,13.60
2,10.55,23.83,1,10.26,23.78,3,10.55,23.95,4,10.36,23.96
3,9.79,33.62,2,9.75,33.53,4,9.79,33.74,1,9.47,33.43
3,9.79,43.41,2,9.78,43.31,4,9.78,43.52,1,9.75,43.18
3,9.74,53.15,2,9.73,53.04,4,9.73,53.25,1,9.77,52.95
3,9.89,1:03.04,2,9.93,1:02.97,4,9.92,1:03.17,1,9.95,1:02.90
2,9.82,1:12.86,1,9.69,1:12.66,4,9.82,1:12.99,3,9.97,1:12.87
2,9.45,1:22.31,1,9.55,1:22.21,3,9.73,1:22.72,4,10.24,1:23.11
2,9.72,1:32.024,1,9.69,1:31.893,3,9.78,1:32.491,4,11.08,1:34.184
