Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Joanie GERVAIS POSITION,Joanie GERVAIS LAP TIME,Joanie GERVAIS ELAPSED TIME
3,10.42,10.42,2,10.26,10.26,1,10.05,10.05,4,10.62,10.62
3,13.60,24.02,2,13.66,23.92,1,13.71,23.76,4,13.61,24.23
3,12.54,36.56,2,12.54,36.46,1,12.55,36.31,4,12.57,36.80
3,12.16,48.72,2,12.17,48.63,1,12.16,48.47,4,12.17,48.97
3,11.86,1:00.58,2,11.86,1:00.49,1,11.90,1:00.37,4,11.84,1:00.81
3,11.72,1:12.30,2,11.65,1:12.14,1,11.75,1:12.12,4,11.67,1:12.48
3,11.09,1:23.39,1,10.96,1:23.10,2,11.17,1:23.29,4,11.12,1:23.60
2,11.00,1:34.39,1,11.27,1:34.37,3,11.19,1:34.48,4,10.94,1:34.54
2,10.36,1:44.75,3,10.72,1:45.09,4,10.63,1:45.11,1,10.03,1:44.57
2,10.43,1:55.18,4,11.54,1:56.63,3,11.07,1:56.18,1,10.49,1:55.06
2,10.36,2:05.54,4,10.85,2:07.48,3,10.30,2:06.48,1,10.38,2:05.44
2,10.06,2:15.60,4,10.81,2:18.29,3,10.40,2:16.88,1,10.04,2:15.48
2,9.73,2:25.33,4,10.75,2:29.04,3,10.74,2:27.62,1,9.75,2:25.23
2,9.90,2:35.224,4,10.97,2:40.005,3,11.05,2:38.666,1,9.90,2:35.121
