Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
4,7.85,7.85,2,7.66,7.66,1,6.98,6.98,3,7.66,7.66
2,9.06,16.91,4,9.48,17.14,1,9.49,16.47,3,9.44,17.10
2,8.94,25.86,3,8.90,26.04,1,9.07,25.54,4,8.99,26.09
2,9.10,34.96,3,8.99,35.04,1,9.17,34.71,4,9.00,35.10
4,9.64,44.600,2,9.40,44.435,1,9.60,44.303,3,9.40,44.500
