Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
2,8.57,8.57,4,8.68,8.68,1,8.55,8.55,6,9.23,9.23,3,8.61,8.61,5,8.82,8.82
4,11.17,19.74,5,11.25,19.94,3,11.14,19.69,6,10.73,19.96,1,10.89,19.50,2,10.78,19.61
2,10.53,30.28,4,10.64,30.58,3,10.68,30.38,5,10.81,30.77,1,10.74,30.24,0,,
3,11.20,41.48,2,10.87,41.45,5,11.30,41.68,6,11.24,42.01,4,11.25,41.50,1,0.00,41.44
4,10.99,52.47,3,10.97,52.43,5,10.95,52.63,6,10.90,52.92,1,10.67,52.18,2,10.90,52.35
4,10.60,1:03.08,2,10.40,1:02.83,6,10.67,1:03.31,5,10.30,1:03.23,1,10.55,1:02.73,3,10.66,1:03.01
3,10.73,1:13.81,2,10.88,1:13.72,5,10.71,1:14.02,6,10.84,1:14.07,1,10.79,1:13.52,4,10.80,1:13.82
1,9.94,1:23.75,3,10.25,1:23.97,6,10.30,1:24.33,5,10.19,1:24.27,2,10.29,1:23.82,4,10.40,1:24.22
3,10.30,1:34.06,4,10.16,1:34.14,6,10.10,1:34.43,1,9.53,1:33.80,2,10.20,1:34.02,5,9.97,1:34.20
2,9.62,1:43.68,4,9.83,1:43.97,6,10.36,1:44.80,1,9.54,1:43.34,3,9.80,1:43.83,5,10.44,1:44.65
2,9.78,1:53.47,4,9.97,1:53.95,6,10.41,1:55.21,1,9.95,1:53.29,3,9.77,1:53.60,5,10.42,1:55.07
2,9.94,2:03.42,4,9.93,2:03.88,6,10.65,2:05.87,1,9.97,2:03.27,3,9.99,2:03.60,5,10.73,2:05.80
3,10.22,2:13.64,4,11.32,2:15.20,6,10.99,2:16.86,1,10.18,2:13.45,2,10.04,2:13.64,5,10.78,2:16.59
2,10.35,2:23.987,4,12.23,2:27.421,6,11.92,2:28.774,1,10.36,2:23.804,3,10.77,2:24.410,5,11.29,2:27.874
