PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME
3,14.53,14.53,2,14.44,14.44,1,14.36,14.36,4,14.68,14.68
1,11.15,25.68,3,11.49,25.94,2,11.38,25.75,4,11.37,26.06
1,11.25,36.94,2,11.19,37.14,4,11.43,37.19,3,11.07,37.14
3,10.90,47.85,1,10.57,47.71,2,10.59,47.78,4,10.84,47.98
2,10.14,58.00,1,10.08,57.80,4,19.54,1:07.33,3,10.03,58.01
3,10.12,1:08.12,1,10.11,1:07.91,4,14.86,1:22.19,2,10.06,1:08.08
1,10.06,1:18.18,2,10.29,1:18.21,4,12.84,1:35.03,3,11.46,1:19.54
2,10.12,1:28.30,1,9.96,1:28.17,4,12.39,1:47.43,3,8.76,1:28.30
2,10.13,1:38.423,1,10.18,1:38.347,0,,DQ,3,10.23,1:38.530
