Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
4,8.56,8.56,5,8.76,8.76,2,8.40,8.40,1,8.25,8.25,3,8.42,8.42,6,9.01,9.01
4,11.31,19.87,5,11.25,20.01,3,11.36,19.76,2,11.37,19.62,1,11.13,19.55,6,11.13,20.14
5,10.57,30.44,6,10.69,30.70,2,10.43,30.19,4,10.66,30.28,1,10.61,30.16,3,10.11,30.25
5,9.84,40.28,6,9.81,40.51,3,9.81,40.00,4,9.84,40.12,2,9.74,39.90,1,9.55,39.80
5,10.18,50.46,6,10.11,50.62,4,10.32,50.32,1,9.93,50.05,3,10.35,50.25,2,10.35,50.15
5,10.08,1:00.54,6,10.20,1:00.82,2,9.95,1:00.27,1,10.15,1:00.20,4,10.19,1:00.44,3,10.18,1:00.33
5,9.75,1:10.29,6,9.97,1:10.79,1,9.51,1:09.78,2,9.69,1:09.89,4,9.69,1:10.13,3,9.70,1:10.03
5,9.79,1:20.08,6,10.03,1:20.82,1,9.79,1:19.57,2,9.78,1:19.67,4,9.78,1:19.91,3,9.71,1:19.74
5,9.87,1:29.95,6,10.30,1:31.12,1,9.71,1:29.28,2,9.73,1:29.40,4,9.80,1:29.71,3,9.80,1:29.54
5,10.08,1:40.03,6,10.77,1:41.89,1,9.60,1:38.88,2,9.60,1:39.00,4,9.65,1:39.36,3,9.63,1:39.17
5,10.54,1:50.57,6,11.12,1:53.01,1,9.49,1:48.37,2,9.57,1:48.57,4,9.68,1:49.04,3,9.63,1:48.80
5,11.61,2:02.18,6,11.58,2:04.59,1,9.58,1:57.95,2,9.75,1:58.32,4,9.96,1:59.00,3,9.73,1:58.53
5,12.09,2:14.27,6,12.06,2:16.65,1,9.79,2:07.74,2,9.97,2:08.29,4,10.52,2:09.52,3,9.91,2:08.44
5,12.12,2:26.390,6,12.55,2:29.194,1,9.93,2:17.661,2,10.28,2:18.567,4,11.17,2:20.682,3,10.24,2:18.675
