BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME
1,6.89,6.89,3,7.21,7.21,2,6.93,6.93,4,7.32,7.32
4,24.00,30.89,2,9.28,16.49,1,9.15,16.08,3,9.36,16.68
4,35.28,1:06.17,2,9.09,25.58,1,8.96,25.04,3,9.06,25.74
4,18.86,1:25.03,2,9.19,34.77,1,9.17,34.21,3,9.35,35.09
0,,notime,2,9.62,44.389,1,9.57,43.771,3,9.65,44.738
