BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
1,12.78,12.78,2,12.92,12.92,4,13.18,13.18,3,13.05,
1,10.00,22.78,2,9.99,22.91,4,9.89,23.07,3,9.94,
1,9.71,32.49,2,9.67,32.58,4,9.66,32.73,3,9.68,
1,9.33,41.82,4,9.46,42.04,3,9.25,41.98,2,9.25,
1,9.14,50.96,4,9.19,51.23,3,9.18,51.16,2,9.16,
1,9.29,1:00.25,4,9.30,1:00.53,3,9.26,1:00.42,2,9.22,
4,9.57,1:09.82,3,9.07,1:09.60,1,9.01,1:09.43,2,9.22,
4,9.47,1:19.29,3,9.16,1:18.76,1,9.11,1:18.54,2,9.12,
3,10.44,1:29.703,2,9.18,1:27.918,1,9.30,1:27.822,3,9.36,
