Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
4,13.56,13.56,3,13.53,13.53,1,13.29,13.29,2,13.34,13.34
1,9.71,23.27,3,9.92,23.45,2,10.12,23.41,4,10.20,23.54
1,9.75,33.03,4,9.81,33.27,2,9.73,33.15,3,9.65,33.20
2,10.01,43.04,3,9.87,43.15,1,9.88,43.04,4,10.03,43.23
2,9.79,52.84,4,9.95,53.10,1,9.75,52.80,3,9.78,53.02
2,9.87,1:02.71,4,9.82,1:02.93,1,9.86,1:02.66,3,9.85,1:02.87
2,9.83,1:12.54,4,11.08,1:14.01,1,9.74,1:12.40,3,9.79,1:12.66
2,9.76,1:22.30,4,13.50,1:27.51,1,9.83,1:22.23,3,9.85,1:22.51
2,10.09,1:32.381,4,25.38,1:52.883,1,10.07,1:32.299,3,9.93,1:32.434
