WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,TSO Ho Yan POSITION,TSO Ho Yan LAP TIME,TSO Ho Yan ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
2,14.740,14.740,3,14.960,14.960,1,14.530,14.530
2,11.750,26.500,3,11.550,26.510,1,11.810,26.340
3,11.210,37.710,2,11.100,37.620,1,11.220,37.560
3,10.860,48.570,2,10.870,48.500,1,10.850,48.420
3,10.780,59.360,1,10.660,59.160,2,10.780,59.200
2,10.760,1:10.120,3,13.470,1:12.630,1,10.650,1:09.860
1,10.030,1:20.160,3,7.710,1:20.350,2,10.380,1:20.240
2,10.030,1:30.190,3,17.750,1:38.100,1,9.880,1:30.130
1,9.750,1:39.940,3,13.250,1:51.350,2,9.910,1:40.040
