Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME
1,12.45,12.45,5,12.88,12.88,6,13.10,13.10,2,12.62,12.62,4,12.78,12.78,3,12.69,12.69
2,20.36,32.81,5,20.27,33.15,6,20.32,33.42,1,19.98,32.60,4,20.33,33.11,3,20.26,32.95
1,18.29,51.10,5,18.65,51.80,6,18.53,51.95,2,18.70,51.30,3,18.34,51.45,4,18.66,51.61
1,15.78,1:06.88,4,15.49,1:07.29,6,15.70,1:07.65,2,15.82,1:07.12,3,15.84,1:07.29,5,15.86,1:07.47
3,12.84,1:19.72,1,12.30,1:19.59,6,12.59,1:20.24,2,12.58,1:19.70,4,12.56,1:19.85,5,12.66,1:20.13
1,10.52,1:30.24,4,10.89,1:30.48,6,10.49,1:30.73,2,10.58,1:30.28,3,10.51,1:30.36,5,10.46,1:30.59
1,9.94,1:40.18,4,9.91,1:40.39,6,9.90,1:40.63,2,10.00,1:40.28,3,9.97,1:40.33,5,9.89,1:40.48
1,9.82,1:50.00,3,9.78,1:50.17,6,9.84,1:50.47,5,9.95,1:50.23,2,9.77,1:50.10,4,9.73,1:50.21
1,9.42,1:59.42,3,9.43,1:59.60,6,9.50,1:59.97,5,9.58,1:59.81,2,9.39,1:59.49,4,9.50,1:59.71
1,9.45,2:08.87,3,9.45,2:09.05,6,9.41,2:09.38,5,9.43,2:09.24,2,9.46,2:08.95,4,9.44,2:09.15
1,9.17,2:18.04,3,9.17,2:18.22,6,9.17,2:18.55,5,9.09,2:18.33,2,9.17,2:18.12,4,9.10,2:18.25
1,8.94,2:26.98,4,9.05,2:27.27,6,8.88,2:27.43,5,9.06,2:27.39,2,8.91,2:27.03,3,8.88,2:27.13
4,9.32,2:36.30,3,8.99,2:36.26,6,8.97,2:36.40,5,9.01,2:36.40,2,9.21,2:36.24,1,9.03,2:36.16
4,11.91,2:48.205,2,9.11,2:45.364,0,,PEN,3,9.51,2:45.903,0,,PEN,1,9.17,2:45.327
