SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,12.00,12.00,4,12.23,12.23,2,12.05,12.05,3,12.21,12.21
1,9.39,21.39,4,9.47,21.70,2,9.45,21.50,3,9.40,21.61
2,9.06,30.45,4,9.06,30.76,1,8.94,30.44,3,9.00,30.61
3,9.08,39.53,4,8.88,39.64,1,8.92,39.36,2,8.84,39.45
3,9.17,48.70,4,9.18,48.82,1,9.17,48.53,2,9.17,48.62
3,9.16,57.86,4,9.16,57.98,1,9.17,57.70,2,9.18,57.80
4,9.46,1:07.32,3,9.29,1:07.27,1,9.40,1:07.10,2,9.40,1:07.20
4,9.33,1:16.65,2,9.25,1:16.52,1,9.29,1:16.39,3,9.40,1:16.60
4,9.45,1:26.094,2,9.38,1:25.891,1,9.32,1:25.707,3,9.43,1:26.028
