SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
2,12.88,12.88,1,12.74,12.74,3,12.98,12.98,4,13.06,13.06
2,9.59,22.47,1,9.68,22.42,3,9.67,22.65,4,9.60,22.66
2,9.39,31.86,1,9.43,31.85,3,9.39,32.04,4,9.51,32.17
1,9.13,40.99,2,9.24,41.09,3,9.14,41.18,4,9.13,41.30
1,9.03,50.02,2,9.04,50.13,3,9.04,50.22,4,9.05,50.35
1,8.93,58.95,2,8.94,59.07,3,8.95,59.17,4,8.95,59.30
1,8.91,1:07.86,2,8.86,1:07.93,3,8.87,1:08.04,4,8.85,1:08.15
1,8.98,1:16.84,2,9.03,1:16.96,3,8.97,1:17.01,4,8.98,1:17.13
0,,PEN,1,9.07,1:26.030,2,9.23,1:26.240,3,9.13,1:26.260
