Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Laszlo VRENCEAN POSITION,Laszlo VRENCEAN LAP TIME,Laszlo VRENCEAN ELAPSED TIME,SHIJIRBAATAR Shagdar POSITION,SHIJIRBAATAR Shagdar LAP TIME,SHIJIRBAATAR Shagdar ELAPSED TIME,Salam AL-ALI POSITION,Salam AL-ALI LAP TIME,Salam AL-ALI ELAPSED TIME
1,8.523,8.523,4,8.945,8.945,2,8.767,8.767,5,9.133,9.133,3,8.794,8.794
1,13.041,21.564,5,13.134,22.078,2,12.953,21.720,3,12.865,21.997,4,13.227,22.021
1,13.137,34.700,3,13.028,35.106,2,13.046,34.765,5,13.255,35.252,4,13.102,35.122
1,13.043,47.743,4,13.119,48.224,2,13.092,47.857,3,12.891,48.142,5,13.110,48.232
1,13.058,1:00.801,4,12.939,1:01.162,2,12.983,1:00.839,5,13.134,1:01.276,3,12.839,1:01.070
1,13.033,1:13.834,4,13.100,1:14.262,2,13.093,1:13.931,5,13.119,1:14.394,3,13.131,1:14.201
2,11.404,1:25.237,3,11.268,1:25.529,1,11.292,1:25.223,5,12.194,1:26.588,4,11.329,1:25.529
1,10.228,1:35.464,3,10.239,1:35.767,2,10.263,1:35.485,5,12.045,1:38.632,4,10.360,1:35.889
1,10.299,1:45.763,3,10.246,1:46.012,2,10.413,1:45.898,5,12.378,1:51.010,4,10.146,1:46.034
1,10.151,1:55.914,2,10.507,1:56.519,3,10.729,1:56.627,5,12.207,2:03.216,4,10.717,1:56.751
1,10.050,2:05.963,2,10.647,2:07.165,3,10.659,2:07.285,5,12.235,2:15.450,4,10.732,2:07.483
1,10.675,2:16.637,2,10.805,2:17.969,3,10.980,2:18.265,5,13.370,2:28.819,4,10.785,2:18.268
1,10.977,2:27.614,2,11.130,2:29.099,3,11.049,2:29.313,5,13.454,2:42.273,4,11.239,2:29.506
1,12.15,2:39.760,2,11.41,2:40.505,3,11.36,2:40.671,4,13.33,2:55.599,0,,DQ
