Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Michal KLOSINSKI POSITION,Michal KLOSINSKI LAP TIME,Michal KLOSINSKI ELAPSED TIME,Bejamin WHITESIDE POSITION,Bejamin WHITESIDE LAP TIME,Bejamin WHITESIDE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,13.95,13.95,1,13.88,13.88,4,14.20,14.20,5,14.37,14.37,3,14.10,14.10
1,10.00,23.95,2,10.30,24.18,4,10.21,24.41,5,10.17,24.54,3,10.21,24.31
1,9.53,33.48,2,9.44,33.62,4,9.42,33.83,5,9.44,33.98,3,9.42,33.73
1,9.60,43.08,2,9.57,43.19,4,9.58,43.41,5,9.62,43.60,3,9.57,43.30
1,9.48,52.56,2,9.47,52.66,4,9.45,52.86,5,9.56,53.16,3,9.46,52.76
1,9.44,1:02.00,2,9.45,1:02.11,4,9.48,1:02.34,5,9.64,1:02.80,3,9.46,1:02.22
2,9.43,1:11.43,1,9.13,1:11.24,4,9.47,1:11.81,5,9.93,1:12.73,3,9.22,1:11.44
3,9.42,1:20.85,1,9.08,1:20.32,4,9.60,1:21.41,5,10.32,1:23.05,2,8.98,1:20.42
3,9.55,1:30.40,1,9.30,1:29.62,4,9.77,1:31.170,5,10.81,1:33.848,2,9.32,1:29.74
