Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,Matus MICHALIK POSITION,Matus MICHALIK LAP TIME,Matus MICHALIK ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Jakub JANECKO POSITION,Jakub JANECKO LAP TIME,Jakub JANECKO ELAPSED TIME,Vitali BAZYLENKO POSITION,Vitali BAZYLENKO LAP TIME,Vitali BAZYLENKO ELAPSED TIME
1,7.793,7.793,3,8.362,8.362,2,8.128,8.128,4,8.420,8.420,6,8.730,8.730,5,8.522,8.522
1,12.074,19.867,4,12.104,20.466,2,12.131,20.259,3,11.991,20.411,5,11.777,20.506,6,12.111,20.632
1,12.113,31.979,3,11.924,32.389,2,12.038,32.296,5,12.231,32.641,6,12.219,32.724,4,11.838,32.470
1,12.102,44.080,3,12.240,44.629,2,12.117,44.413,4,12.003,44.644,5,12.166,44.890,6,14.487,46.956
2,11.644,55.724,5,11.560,56.188,4,11.712,56.124,1,11.032,55.675,6,11.579,56.468,3,9.082,56.037
2,10.795,1:06.518,5,10.739,1:06.927,3,10.694,1:06.818,1,10.829,1:06.504,6,10.919,1:07.386,4,10.854,1:06.891
1,11.423,1:17.941,3,11.252,1:18.179,2,11.267,1:18.084,4,11.807,1:18.310,6,11.120,1:18.505,5,11.502,1:18.393
1,10.858,1:28.798,5,11.083,1:29.261,3,10.948,1:29.032,2,10.646,1:28.955,6,11.032,1:29.537,4,10.848,1:29.240
1,9.675,1:38.472,4,9.996,1:39.257,3,10.019,1:39.050,2,9.888,1:38.842,6,10.345,1:39.882,5,10.045,1:39.285
1,9.483,1:47.954,3,9.643,1:48.899,4,9.916,1:48.966,2,9.795,1:48.637,6,10.579,1:50.461,5,9.904,1:49.188
1,9.561,1:57.515,3,9.771,1:58.669,4,9.910,1:58.876,2,10.021,1:58.657,6,11.018,2:01.479,5,10.120,1:59.307
1,9.784,2:07.299,2,9.778,2:08.446,3,10.135,2:09.010,4,10.618,2:09.275,6,11.231,2:12.710,5,10.841,2:10.148
1,10.201,2:17.499,2,9.908,2:18.354,3,10.271,2:19.281,4,11.022,2:20.296,6,11.519,2:24.228,5,11.514,2:21.661
1,10.61,2:28.103,2,10.09,2:28.440,3,10.64,2:29.917,4,12.07,2:32.366,6,11.61,2:35.832,5,12.43,2:34.085
