HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
2,13.09,13.09,1,12.96,12.96,4,13.34,13.34,3,13.19,13.19
2,9.74,22.83,1,9.78,22.74,3,9.61,22.95,4,9.84,23.03
2,9.29,32.12,1,9.27,32.01,3,9.30,32.25,4,9.34,32.37
2,9.07,41.19,1,9.09,41.10,3,9.03,41.28,4,9.07,41.44
2,8.99,50.18,1,9.07,50.17,3,8.98,50.26,4,9.02,50.46
1,8.68,58.86,2,8.89,59.06,3,8.99,59.25,4,9.15,59.61
1,8.91,1:07.77,2,8.89,1:07.95,3,9.07,1:08.32,4,9.51,1:09.12
1,9.05,1:16.82,2,9.08,1:17.03,3,9.43,1:17.75,4,9.80,1:18.92
1,9.20,1:26.02,2,9.29,1:26.32,3,9.89,1:27.64,4,10.05,1:28.97
