Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Max BACKSTROM POSITION,Max BACKSTROM LAP TIME,Max BACKSTROM ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Mikkel K ORITSLAND POSITION,Mikkel K ORITSLAND LAP TIME,Mikkel K ORITSLAND ELAPSED TIME
1,8.25,8.25,5,8.80,8.80,6,8.88,8.88,2,8.37,8.37,4,8.63,8.63,3,8.47,8.47
1,12.06,20.31,5,12.05,20.85,6,12.11,20.99,2,12.05,20.42,4,12.11,20.74,3,12.10,20.57
1,11.26,31.57,5,11.35,32.20,6,11.37,32.36,2,11.25,31.67,4,11.31,32.05,3,11.23,31.80
1,10.94,42.51,4,10.62,42.82,6,10.67,43.03,2,10.92,42.59,5,10.84,42.89,3,10.91,42.71
1,10.73,53.24,4,10.77,53.59,6,10.81,53.84,2,10.75,53.34,5,10.80,53.69,3,10.75,53.46
1,10.68,1:03.92,4,10.65,1:04.24,6,10.66,1:04.50,2,10.65,1:03.99,5,10.65,1:04.34,3,10.69,1:04.15
1,10.52,1:14.44,4,10.56,1:14.80,6,10.56,1:15.06,2,10.56,1:14.55,5,10.55,1:14.89,3,10.53,1:14.68
1,9.96,1:24.40,4,9.94,1:24.74,6,10.24,1:25.30,3,9.95,1:24.50,2,9.57,1:24.46,5,10.16,1:24.84
2,9.26,1:33.66,3,9.12,1:33.86,6,10.24,1:35.54,4,9.36,1:33.86,1,9.04,1:33.50,5,10.03,1:34.87
3,9.21,1:42.87,2,8.98,1:42.84,6,10.73,1:46.27,4,9.21,1:43.07,1,9.24,1:42.74,5,10.22,1:45.09
4,9.56,1:52.43,2,9.16,1:52.00,6,11.45,1:57.72,3,9.33,1:52.40,1,9.17,1:51.91,5,10.47,1:55.56
4,10.13,2:02.56,2,9.15,2:01.15,6,11.66,2:09.38,3,9.62,2:02.02,1,9.13,2:01.04,5,10.88,2:06.44
4,10.04,2:12.60,2,9.18,2:10.33,6,12.77,2:22.15,3,9.94,2:11.96,1,9.20,2:10.24,5,11.17,2:17.61
4,11.40,2:23.997,2,9.38,2:19.703,6,12.34,2:34.488,3,10.39,2:22.348,1,9.36,2:19.592,5,11.40,2:29.003
