LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
4,12.82,12.82,3,12.58,12.58,2,12.46,12.46,1,12.30,12.30
4,9.71,22.53,3,9.81,22.39,2,9.83,22.29,1,9.88,22.18
4,9.78,32.31,3,9.82,32.21,2,9.83,32.12,1,9.80,31.98
3,9.71,42.02,4,9.83,42.04,2,9.73,41.85,1,9.74,41.72
3,9.29,51.31,4,9.38,51.42,2,9.40,51.25,1,9.42,51.14
3,9.28,1:00.59,4,9.29,1:00.71,2,9.29,1:00.54,1,9.30,1:00.44
3,9.27,1:09.86,4,9.25,1:09.96,2,9.30,1:09.84,1,9.32,1:09.76
1,9.15,1:19.01,2,9.57,1:19.53,3,9.84,1:19.68,4,9.99,1:19.75
1,9.77,1:28.773,2,9.83,1:29.360,0,,DQ,3,11.31,1:31.060
