Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
1,13.63,13.63,3,13.97,13.97,4,14.00,14.00,2,13.69,13.69
2,10.40,24.03,4,10.39,24.36,1,9.97,23.97,3,10.47,24.16
2,9.89,33.92,3,9.62,33.98,1,9.80,33.77,4,10.08,34.24
3,10.19,44.11,2,10.11,44.09,1,10.09,43.86,4,9.96,44.20
2,10.11,54.22,3,10.17,54.26,1,10.11,53.97,4,10.15,54.35
2,10.10,1:04.32,3,10.08,1:04.34,1,10.13,1:04.10,4,10.05,1:04.40
2,9.98,1:14.30,3,10.11,1:14.45,1,9.92,1:14.02,4,10.10,1:14.50
1,9.56,1:23.86,4,9.71,1:24.16,2,9.84,1:23.86,3,9.65,1:24.15
1,9.86,1:33.715,3,9.69,1:33.843,2,9.94,1:33.795,4,9.83,1:33.977
