Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,13.23,13.23,3,13.35,13.35,4,13.50,13.50,1,13.14,13.14
2,10.29,23.52,3,10.37,23.72,4,10.33,23.83,1,10.37,23.51
1,9.87,33.39,3,9.94,33.66,4,9.90,33.73,2,10.04,33.55
1,10.19,43.58,3,10.12,43.78,4,10.09,43.82,2,10.16,43.71
1,10.15,53.73,2,10.04,53.82,4,10.05,53.87,3,10.13,53.84
1,9.90,1:03.63,2,9.91,1:03.73,3,9.94,1:03.81,4,10.14,1:03.98
1,10.29,1:13.92,2,10.20,1:13.93,3,10.26,1:14.07,4,10.30,1:14.28
3,28.39,1:42.31,4,37.28,1:51.21,2,25.45,1:39.52,1,10.68,1:24.96
3,18.33,2:00.634,0,,PEN,2,14.19,1:53.708,1,11.33,1:36.286
