KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
3,13.16,13.16,1,12.88,12.88,2,13.05,13.05,5,13.40,13.40,4,13.29,13.29
4,10.01,23.17,1,10.09,22.97,2,10.02,23.07,5,9.88,23.28,3,9.81,23.10
4,9.38,32.55,2,9.32,32.29,3,9.33,32.40,5,9.38,32.66,1,9.08,32.18
3,8.91,41.46,4,9.21,41.50,2,8.99,41.39,5,9.05,41.71,1,9.12,41.30
3,9.11,50.57,4,9.16,50.66,2,9.07,50.46,5,9.04,50.75,1,9.05,50.35
2,8.75,59.32,4,8.80,59.46,1,8.78,59.24,5,8.83,59.58,3,8.98,59.33
1,8.62,1:07.94,3,8.67,1:08.13,2,8.77,1:08.01,5,8.72,1:08.30,4,8.94,1:08.27
1,8.78,1:16.72,3,8.79,1:16.92,2,8.79,1:16.80,5,8.92,1:17.22,4,8.89,1:17.16
1,8.90,1:25.619,3,8.83,1:25.742,2,8.91,1:25.709,5,9.07,1:26.281,4,9.02,1:26.176
