Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,12.92,12.92,2,12.93,12.93,3,12.94,12.94,4,13.11,13.11
2,9.35,22.27,1,9.32,22.25,4,9.46,22.40,3,9.22,22.33
3,9.37,31.64,1,9.23,31.48,4,9.42,31.82,2,9.24,31.57
3,9.05,40.69,1,9.07,40.55,4,9.06,40.88,2,9.07,40.64
3,9.04,49.73,1,9.01,49.56,4,8.96,49.84,2,9.01,49.65
3,8.94,58.67,1,8.92,58.48,4,8.95,58.79,2,8.90,58.55
3,8.82,1:07.49,1,8.85,1:07.33,4,8.84,1:07.63,2,8.86,1:07.41
3,8.93,1:16.42,2,9.05,1:16.38,4,8.89,1:16.52,1,8.80,1:16.21
2,8.95,1:25.363,4,9.66,1:26.035,3,9.11,1:25.626,1,8.93,1:25.133
