Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME
1,9.18,9.18,2,9.32,9.32,5,9.74,9.74,3,9.45,9.45,4,9.58,9.58
1,12.67,21.85,2,12.62,21.94,3,12.27,22.01,4,12.56,22.01,5,12.48,22.06
1,11.05,32.90,2,11.09,33.03,3,11.11,33.12,4,11.22,33.23,5,11.17,33.23
1,10.78,43.68,2,10.73,43.76,3,10.79,43.91,5,10.89,44.12,4,10.78,44.01
1,10.72,54.40,2,10.73,54.49,3,10.73,54.64,4,10.59,54.71,5,10.71,54.72
1,10.28,1:04.68,2,10.26,1:04.75,3,10.30,1:04.94,4,10.34,1:05.05,5,22.68,1:17.40
1,10.08,1:14.76,2,10.11,1:14.86,4,10.26,1:15.20,3,9.92,1:14.97,5,11.75,1:29.15
1,9.63,1:24.39,2,9.61,1:24.47,4,9.52,1:24.72,3,9.61,1:24.58,5,11.06,1:40.21
1,9.33,1:33.72,2,9.33,1:33.80,4,9.31,1:34.03,3,9.32,1:33.90,5,10.75,1:50.96
1,9.20,1:42.92,2,9.22,1:43.02,4,9.30,1:43.33,3,9.24,1:43.14,5,11.72,2:02.68
1,9.30,1:52.22,2,9.31,1:52.33,4,9.21,1:52.54,3,9.31,1:52.45,5,10.61,2:13.29
1,9.30,2:01.52,2,9.29,2:01.62,4,9.41,2:01.95,3,9.36,2:01.81,5,10.42,2:23.71
1,9.38,2:10.90,2,9.39,2:11.01,4,9.40,2:11.35,3,9.34,2:11.15,5,10.73,2:34.44
1,9.64,2:20.537,2,9.65,2:20.651,4,9.39,2:20.738,3,9.58,2:20.729,5,15.82,2:50.257
