Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
0,8.820,8.820,0,8.970,8.970,0,8.797,8.797,0,8.877,8.877,0,8.660,8.660,0,8.889,8.889
0,11.035,19.855,0,10.721,19.691,0,11.114,19.911,0,10.696,19.573,0,10.979,19.639,0,10.856,19.745
0,10.800,30.655,0,10.753,30.444,0,10.646,30.556,0,10.636,30.210,0,10.762,30.401,0,10.550,30.295
0,10.572,41.227,0,10.712,41.156,0,10.698,41.255,0,10.632,40.842,0,10.372,40.772,0,11.242,41.537
0,10.164,51.391,0,10.265,51.421,0,10.209,51.464,0,10.283,51.124,0,10.485,51.257,0,10.136,51.673
0,10.170,1:01.561,0,10.467,1:01.888,0,10.342,1:01.806,0,10.255,1:01.379,0,10.265,1:01.522,0,10.234,1:01.907
0,10.059,1:11.620,0,9.632,1:11.520,0,10.180,1:11.986,0,10.286,1:11.665,0,9.834,1:11.356,0,9.932,1:11.839
0,9.823,1:21.443,0,9.893,1:21.413,0,9.833,1:21.819,0,9.874,1:21.539,0,9.819,1:21.175,0,9.660,1:21.499
0,9.368,1:30.811,0,9.625,1:31.038,0,9.832,1:31.651,0,9.393,1:30.932,0,9.678,1:30.854,0,9.426,1:30.926
0,9.794,1:40.605,0,9.818,1:40.856,0,10.087,1:41.738,0,10.014,1:40.947,0,9.797,1:40.651,0,10.330,1:41.256
0,10.135,1:50.740,0,9.965,1:50.821,0,10.530,1:52.268,0,9.956,1:50.902,0,9.952,1:50.603,0,10.882,1:52.137
0,9.864,2:00.603,0,9.822,2:00.643,0,10.957,2:03.226,0,9.942,2:00.845,0,9.876,2:00.479,0,10.969,2:03.106
0,10.391,2:10.995,0,9.986,2:10.629,0,11.472,2:14.697,0,9.872,2:10.716,0,9.865,2:10.344,0,11.387,2:14.492
0,10.194,2:21.189,0,9.958,2:20.587,0,11.739,2:26.436,0,9.943,2:20.659,0,10.210,2:20.555,0,11.802,2:26.294
