Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME
1,13.52,13.52,4,13.91,13.91,2,13.66,13.66,3,13.76,
1,10.46,23.98,3,10.27,24.18,2,10.33,23.99,4,10.55,
1,9.68,33.66,3,9.68,33.86,2,9.71,33.70,4,9.65,
1,9.44,43.10,3,9.44,43.30,2,9.52,43.22,4,9.43,
1,9.73,52.83,3,9.69,52.99,2,9.69,52.91,4,9.67,
1,9.63,1:02.46,3,9.61,1:02.60,2,9.57,1:02.48,4,9.70,
2,9.51,1:11.97,3,9.46,1:12.06,1,9.18,1:11.66,4,9.41,
2,9.20,1:21.17,3,9.37,1:21.43,1,9.27,1:20.93,4,9.47,
2,9.34,1:30.51,3,9.54,1:30.97,1,9.52,1:30.45,4,9.62,
