Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,13.74,13.74,3,14.04,14.04,2,13.90,13.90,4,14.16,14.16
2,11.13,24.87,4,11.02,25.06,3,11.07,24.97,1,10.69,24.85
4,10.20,35.07,3,9.92,34.98,2,9.96,34.93,1,9.96,34.81
4,9.36,44.43,3,9.39,44.37,2,9.34,44.27,1,9.36,44.17
4,9.32,53.75,3,9.36,53.73,2,9.34,53.61,1,9.34,53.51
3,9.13,1:02.88,4,9.30,1:03.03,2,9.17,1:02.78,1,9.19,1:02.70
3,8.78,1:11.66,4,9.11,1:12.14,2,8.84,1:11.62,1,8.80,1:11.50
2,8.75,1:20.41,4,9.54,1:21.68,3,8.93,1:20.55,1,8.80,1:20.30
2,8.87,1:29.274,4,9.97,1:31.647,3,9.04,1:29.582,1,8.88,1:29.172
