NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME
2,12.79,12.79,3,12.83,12.83,5,13.16,13.16,4,12.98,12.98,1,12.71,12.71
3,9.17,21.96,1,8.99,21.82,5,9.30,22.46,4,9.12,22.10,2,9.16,21.87
3,9.06,31.02,1,9.05,30.87,5,9.37,31.83,4,9.05,31.15,2,9.07,30.94
3,9.10,40.12,2,9.18,40.05,5,9.83,41.66,4,9.09,40.24,1,9.00,39.94
2,9.13,49.25,4,9.25,49.30,5,10.22,51.88,3,9.05,49.29,1,9.11,49.05
2,8.94,58.19,4,9.39,58.69,5,10.57,1:02.45,3,8.98,58.27,1,8.86,57.91
2,8.83,1:07.02,4,9.43,1:08.12,5,10.96,1:13.41,3,8.91,1:07.18,1,8.74,1:06.65
2,8.94,1:15.96,4,9.80,1:17.92,5,12.19,1:25.60,3,9.07,1:16.25,1,8.88,1:15.53
2,9.36,1:25.325,4,10.41,1:28.334,5,11.96,1:37.564,3,9.32,1:25.570,1,9.13,1:24.667
