MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
1,9.11,9.11,6,9.56,9.56,5,9.47,9.47,7,9.67,9.67,2,9.16,9.16,4,9.32,9.32,3,9.24,9.24
1,12.20,21.31,5,12.12,21.68,6,12.25,21.72,7,12.17,21.84,3,12.36,21.52,4,12.31,21.63,2,12.15,21.39
2,11.39,32.70,3,11.17,32.85,6,11.51,33.23,7,11.49,33.33,1,11.03,32.55,5,11.48,33.11,4,11.59,32.98
1,10.91,43.61,3,10.95,43.80,5,10.79,44.02,7,10.88,44.21,1,11.06,43.61,6,11.01,44.12,4,10.94,43.92
1,10.76,54.37,4,10.75,54.55,5,10.72,54.74,7,10.74,54.95,2,10.80,54.41,6,10.73,54.85,3,10.62,54.54
3,10.28,1:04.65,6,10.53,1:05.08,4,10.23,1:04.97,7,10.14,1:05.09,1,10.09,1:04.50,5,10.18,1:05.03,2,10.10,1:04.64
3,9.93,1:14.58,7,10.08,1:15.16,5,9.96,1:14.93,6,9.97,1:15.06,1,9.84,1:14.34,4,9.82,1:14.85,2,9.80,1:14.44
3,9.87,1:24.45,6,10.10,1:25.26,7,10.35,1:25.28,5,10.12,1:25.18,1,9.89,1:24.23,4,10.22,1:25.07,2,9.88,1:24.32
3,9.99,1:34.44,4,10.17,1:35.43,7,10.44,1:35.72,5,10.45,1:35.63,1,9.93,1:34.16,6,10.58,1:35.65,2,9.93,1:34.25
3,10.06,1:44.50,4,10.52,1:45.95,6,10.95,1:46.67,5,10.56,1:46.19,1,9.91,1:44.07,7,11.39,1:47.04,2,9.93,1:44.18
3,10.37,1:54.87,4,11.05,1:57.00,6,11.68,1:58.35,5,10.90,1:57.09,1,10.05,1:54.12,7,11.59,1:58.63,2,10.03,1:54.21
3,11.00,2:05.87,4,11.39,2:08.39,6,11.89,2:10.24,5,11.43,2:08.52,1,10.01,2:04.13,7,11.85,2:10.48,2,10.04,2:04.25
3,11.63,2:17.50,4,11.73,2:20.12,6,11.89,2:22.13,5,11.80,2:20.32,1,10.15,2:14.28,7,11.87,2:22.35,2,10.14,2:14.39
3,12.41,2:29.914,4,11.78,2:31.903,7,11.69,2:33.824,5,11.87,2:32.195,1,10.41,2:24.69,6,11.44,2:33.790,2,10.39,2:24.78
