JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,6.84,6.84,1,6.76,6.76,2,6.84,6.84,4,6.96,,5,7.18,7.18
5,27.86,34.70,1,8.63,15.39,2,8.73,15.57,3,9.31,,4,27.39,34.57
5,11.10,45.80,1,8.16,23.55,2,8.26,23.83,3,8.62,,4,11.07,45.64
5,8.74,54.54,1,8.27,31.82,2,8.46,32.29,3,8.56,,4,8.87,54.51
4,8.59,1:03.13,1,8.44,40.26,2,8.74,41.03,3,8.76,,5,10.24,1:04.75
