DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME
5,9.20,9.20,4,9.03,9.03,3,8.95,8.95,2,8.84,8.84,1,8.83,8.83
5,12.04,21.24,4,12.09,21.12,3,12.06,21.01,1,11.88,20.72,2,11.99,20.82
3,11.00,32.24,5,11.28,32.40,4,11.26,32.27,1,11.27,31.99,2,11.28,32.10
3,10.96,43.20,5,11.08,43.48,4,11.09,43.36,1,10.96,42.95,2,10.94,43.04
3,10.69,53.89,5,10.62,54.10,4,10.66,54.02,1,10.77,53.72,2,10.78,53.82
3,10.68,1:04.57,5,10.79,1:04.89,4,10.74,1:04.76,1,10.66,1:04.38,2,10.65,1:04.47
3,10.37,1:14.94,5,10.31,1:15.20,4,10.34,1:15.10,1,10.36,1:14.74,2,10.35,1:14.82
2,9.93,1:24.87,5,10.02,1:25.22,4,10.04,1:25.14,1,10.06,1:24.80,3,10.10,1:24.92
2,9.65,1:34.52,5,9.72,1:34.94,4,9.68,1:34.82,1,9.65,1:34.45,3,9.71,1:34.63
2,9.57,1:44.09,4,9.40,1:44.34,5,9.76,1:44.58,1,9.57,1:44.02,3,9.57,1:44.20
2,9.61,1:53.70,4,9.63,1:53.97,5,9.94,1:54.52,1,9.55,1:53.57,3,9.67,1:53.87
2,9.41,2:03.11,4,9.61,2:03.58,5,10.40,2:04.92,1,9.45,2:03.02,3,9.57,2:03.44
2,9.38,2:12.49,4,9.67,2:13.25,5,11.04,2:15.96,1,9.32,2:12.34,3,9.66,2:13.10
2,9.89,2:22.374,4,10.16,2:23.406,5,12.09,2:28.050,1,9.86,2:22.200,3,10.16,2:23.251
