BOUDRIAS Megan POSITION,BOUDRIAS Megan LAP TIME,BOUDRIAS Megan ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,FILIPPI Katia POSITION,FILIPPI Katia LAP TIME,FILIPPI Katia ELAPSED TIME
1,7.33,7.33,2,7.58,7.58,3,7.70,7.70,4,7.92,7.92,5,8.10,8.10
1,9.44,16.77,2,9.38,16.96,3,9.35,17.05,4,9.39,17.31,5,9.55,17.65
1,9.05,25.82,2,8.93,25.89,3,8.95,26.00,4,9.07,26.38,5,9.04,26.69
2,9.28,35.10,1,9.00,34.89,3,9.17,35.17,4,9.23,35.61,5,9.34,36.03
3,9.47,44.57,1,9.25,44.14,2,9.17,44.34,4,9.42,45.039,5,9.81,45.841
