LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,11.57,11.57,1,6.90,6.90,2,6.92,6.92,3,7.54,7.54
4,14.22,25.79,2,9.13,16.03,1,9.03,15.95,3,9.31,16.86
4,10.00,35.80,2,8.72,24.75,1,8.76,24.72,3,8.42,25.29
4,9.50,45.31,1,8.74,33.49,2,8.84,33.56,3,8.72,34.01
3,10.52,55.826,1,9.16,42.644,0,,DQ,2,8.95,42.954
