David CAKO POSITION,David CAKO LAP TIME,David CAKO ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,Oliver RINGER POSITION,Oliver RINGER LAP TIME,Oliver RINGER ELAPSED TIME
4,13.93,13.93,2,13.73,13.73,1,13.65,13.65,5,14.02,14.02,3,13.85,13.85
1,9.95,23.88,3,10.45,24.18,2,10.39,24.04,5,10.55,24.57,4,10.71,24.56
1,9.52,33.40,3,9.46,33.64,2,9.51,33.55,5,9.78,34.35,4,9.65,34.21
1,9.65,43.05,3,9.56,43.20,2,9.56,43.11,4,9.41,43.76,5,9.69,43.90
3,9.54,52.59,2,9.37,52.57,1,9.30,52.41,4,9.40,53.16,5,9.89,53.79
3,9.67,1:02.26,2,9.30,1:01.87,1,9.33,1:01.74,4,9.56,1:02.72,5,10.13,1:03.92
3,10.00,1:12.26,2,9.48,1:11.35,1,9.27,1:11.01,4,9.87,1:12.59,5,10.39,1:14.31
4,10.53,1:22.79,2,9.57,1:20.92,1,9.30,1:20.31,3,10.15,1:22.74,5,10.76,1:25.07
4,10.91,1:33.70,2,10.08,1:31.00,1,9.62,1:29.93,3,10.64,1:33.38,5,11.02,1:36.09
