YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
3,15.656,15.656,4,15.783,15.783,2,15.530,15.530,1,15.463,15.463
3,12.169,27.825,4,12.072,27.854,2,12.097,27.626,1,12.088,27.551
2,10.822,38.646,4,10.987,38.841,1,11.005,38.631,3,11.165,38.715
2,10.135,48.781,1,9.891,48.732,3,10.253,48.883,4,10.356,49.070
2,9.896,58.677,1,9.860,58.592,3,9.820,58.703,4,9.718,58.788
1,9.502,1:08.178,3,9.762,1:08.353,2,9.612,1:08.315,4,9.776,1:08.563
1,9.671,1:17.849,3,9.685,1:18.037,2,9.683,1:17.997,4,9.519,1:18.082
1,9.909,1:27.758,3,9.864,1:27.901,2,9.898,1:27.894,4,9.871,1:27.952
1,10.15,1:37.899,3,10.20,1:38.099,2,10.16,1:38.047,4,10.55,1:38.496
