CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
2,10.99,10.99,4,11.32,11.32,5,11.51,11.51,1,10.75,10.75,6,11.75,11.75,3,11.15,11.15
2,12.48,23.47,4,12.37,23.69,5,12.30,23.81,1,12.58,23.33,6,12.28,24.03,3,12.46,23.61
2,11.59,35.06,4,11.61,35.30,5,11.61,35.42,1,11.56,34.89,6,11.57,35.60,3,11.58,35.19
2,11.12,46.18,4,11.11,46.41,5,11.12,46.54,1,11.17,46.06,6,11.09,46.69,3,11.10,46.29
2,11.06,57.24,4,11.05,57.46,5,11.04,57.58,1,11.06,57.12,6,11.01,57.70,3,11.07,57.36
2,10.96,1:08.20,4,10.92,1:08.38,5,10.93,1:08.51,1,10.97,1:08.09,6,10.98,1:08.68,3,10.94,1:08.30
2,11.05,1:19.25,4,11.05,1:19.43,5,11.05,1:19.56,1,11.06,1:19.15,6,10.97,1:19.65,3,11.03,1:19.33
1,10.48,1:29.73,4,10.59,1:30.02,6,10.94,1:30.50,3,10.73,1:29.88,5,10.79,1:30.44,2,10.52,1:29.85
1,10.24,1:39.97,3,10.13,1:40.15,6,10.97,1:41.47,4,10.47,1:40.35,5,9.94,1:40.38,2,10.22,1:40.07
1,10.06,1:50.03,3,10.09,1:50.24,6,11.71,1:53.18,5,10.47,1:50.82,4,10.05,1:50.43,2,10.06,1:50.13
1,9.86,1:59.89,3,9.91,2:00.15,6,12.35,2:05.53,5,10.25,2:01.07,4,9.88,2:00.31,2,9.88,2:00.01
1,9.66,2:09.55,3,9.61,2:09.76,6,12.76,2:18.29,5,10.28,2:11.35,4,9.57,2:09.88,2,9.65,2:09.66
1,9.45,2:19.00,4,9.51,2:19.27,6,13.27,2:31.56,5,10.47,2:21.82,3,9.34,2:19.22,2,9.51,2:19.17
1,9.64,2:28.632,4,9.94,2:29.205,6,13.07,2:44.626,5,10.97,2:32.787,2,9.73,2:28.943,3,9.87,2:29.033
