HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
2,9.21,9.21,3,9.37,9.37,5,9.73,9.73,4,9.57,9.57,1,8.83,8.83
2,11.86,21.07,3,11.71,21.08,5,11.81,21.54,4,11.79,21.36,1,12.11,20.94
3,11.03,32.10,1,10.86,31.94,5,10.78,32.32,4,10.87,32.23,2,11.08,32.02
3,11.23,43.33,1,11.32,43.26,5,11.43,43.75,4,11.37,43.60,2,11.28,43.30
3,10.75,54.08,2,10.75,54.01,5,10.59,54.34,4,10.61,54.21,1,10.57,53.87
2,10.62,1:04.70,3,10.72,1:04.73,5,10.66,1:05.00,4,10.57,1:04.78,1,10.73,1:04.60
1,9.60,1:14.30,3,9.86,1:14.59,4,9.69,1:14.69,2,9.64,1:14.42,5,10.11,1:14.71
1,9.83,1:24.13,3,9.77,1:24.36,4,9.80,1:24.49,2,9.81,1:24.23,5,9.89,1:24.60
2,9.82,1:33.95,3,9.73,1:34.09,4,9.74,1:34.23,1,9.63,1:33.86,5,9.81,1:34.41
1,9.41,1:43.36,3,9.53,1:43.62,4,9.56,1:43.79,2,9.67,1:43.53,5,9.80,1:44.21
1,9.41,1:52.77,3,9.37,1:52.99,4,9.36,1:53.15,2,9.34,1:52.87,5,10.43,1:54.64
1,9.23,2:02.00,3,9.41,2:02.40,4,9.36,2:02.51,2,9.25,2:02.12,5,11.23,2:05.87
1,9.32,2:11.32,3,9.68,2:12.08,4,9.72,2:12.23,2,9.34,2:11.46,5,11.65,2:17.52
1,9.48,2:20.791,3,9.98,2:22.053,4,10.09,2:22.320,2,9.45,2:20.908,5,11.99,2:29.501
