Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
4,12.576,12.576,3,12.557,12.557,1,12.265,12.265,2,12.370,12.370,5,12.737,12.737
4,16.822,29.398,3,16.706,29.263,2,16.862,29.126,1,16.645,29.015,5,16.845,29.581
4,15.984,45.381,2,15.986,45.248,1,16.104,45.230,3,16.242,45.256,5,15.923,45.504
5,15.887,1:01.267,3,15.863,1:01.110,2,15.615,1:00.845,4,15.918,1:01.173,1,15.175,1:00.679
5,14.440,1:15.707,2,14.147,1:15.257,3,14.417,1:15.261,4,14.265,1:15.437,1,14.271,1:14.949
5,12.212,1:27.918,2,12.026,1:27.282,3,12.047,1:27.308,4,12.280,1:27.717,1,12.135,1:27.084
5,10.438,1:38.356,3,10.638,1:37.920,2,10.568,1:37.875,4,10.558,1:38.274,1,10.747,1:37.831
5,10.324,1:48.680,1,10.500,1:48.420,3,10.647,1:48.522,4,10.384,1:48.658,2,10.597,1:48.427
5,10.143,1:58.822,2,9.996,1:58.416,3,9.923,1:58.444,4,9.976,1:58.633,1,9.454,1:57.881
5,11.182,2:10.004,2,9.942,2:08.358,3,9.915,2:08.359,4,9.805,2:08.437,1,10.200,2:08.080
5,8.417,2:18.420,2,9.506,2:17.863,3,9.562,2:17.921,4,9.705,2:18.141,1,9.590,2:17.670
5,9.713,2:28.133,2,9.806,2:27.668,3,9.768,2:27.688,4,9.785,2:27.926,1,9.831,2:27.501
5,9.804,2:37.937,2,9.770,2:37.437,3,9.963,2:37.651,4,9.870,2:37.795,1,9.859,2:37.359
5,10.22,2:48.157,1,10.09,2:47.521,4,10.51,2:48.155,3,10.25,2:48.042,2,10.21,2:47.569
