Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
2,6.88,6.88,1,6.76,6.76,3,6.97,6.97,4,7.12,7.12
2,8.88,15.76,1,8.89,15.65,3,8.91,15.88,4,8.91,16.03
1,8.44,24.20,2,8.60,24.25,3,8.45,24.33,4,8.53,24.56
1,8.69,32.89,2,8.85,33.10,3,8.86,33.19,4,8.72,33.28
1,8.91,41.80,4,9.23,42.33,2,8.82,42.01,3,8.92,42.20
