Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,YIN Qi POSITION,YIN Qi LAP TIME,YIN Qi ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,ZHANG Qichao POSITION,ZHANG Qichao LAP TIME,ZHANG Qichao ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
5,11.65,11.65,2,11.38,11.38,1,11.32,11.32,7,11.83,11.83,3,11.41,11.41,6,11.72,11.72,4,11.52,11.52
7,15.19,26.84,5,14.95,26.33,3,14.70,26.02,4,14.38,26.21,2,14.53,25.94,1,14.16,25.88,6,15.05,26.57
7,11.74,38.58,2,11.65,37.98,4,12.21,38.23,3,11.95,38.16,1,11.90,37.84,5,12.40,38.28,6,11.83,38.40
7,11.09,49.67,3,11.08,49.06,1,10.59,48.82,4,11.05,49.21,2,11.11,48.95,5,11.05,49.33,6,11.08,49.48
7,10.75,1:00.42,3,10.91,59.97,1,10.89,59.71,4,10.80,1:00.01,2,10.87,59.82,5,10.80,1:00.13,6,10.77,1:00.25
7,10.30,1:10.72,3,10.40,1:10.37,2,10.58,1:10.29,4,10.37,1:10.38,1,10.32,1:10.14,5,10.38,1:10.51,6,10.38,1:10.63
3,9.50,1:20.22,6,10.26,1:20.63,2,9.89,1:20.18,4,9.92,1:20.30,1,9.94,1:20.08,5,9.92,1:20.43,7,10.12,1:20.75
1,9.32,1:29.54,6,9.49,1:30.12,4,9.62,1:29.80,3,9.46,1:29.76,2,9.60,1:29.68,5,9.49,1:29.92,7,9.48,1:30.23
1,9.65,1:39.19,7,9.70,1:39.82,5,9.72,1:39.52,3,9.62,1:39.38,2,9.59,1:39.27,4,9.59,1:39.51,6,9.38,1:39.61
1,9.56,1:48.75,7,9.59,1:49.41,6,9.69,1:49.21,3,9.58,1:48.96,2,9.58,1:48.85,4,9.56,1:49.07,5,9.57,1:49.18
1,9.59,1:58.34,7,9.60,1:59.01,6,9.72,1:58.93,3,9.63,1:58.59,2,9.63,1:58.48,5,9.69,1:58.76,4,9.50,1:58.68
1,9.64,2:07.98,7,9.88,2:08.89,6,9.86,2:08.79,3,9.59,2:08.18,2,9.60,2:08.08,5,9.63,2:08.39,4,9.59,2:08.27
1,9.68,2:17.66,6,10.16,2:19.05,7,10.32,2:19.11,5,9.81,2:17.99,2,9.68,2:17.76,4,9.58,2:17.97,3,9.60,2:17.87
1,9.82,2:27.48,6,,2:29.255,7,11.32,2:30.402,5,,2:29.247,2,9.81,2:27.57,4,9.90,2:27.87,3,9.80,2:27.67
