JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Samuel BELANGER-MARCEAU POSITION,Samuel BELANGER-MARCEAU LAP TIME,Samuel BELANGER-MARCEAU ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.88,6.88,2,6.97,6.97,3,7.06,7.06,4,7.18,7.18
1,8.88,15.76,2,8.83,15.80,3,8.86,15.92,4,8.86,16.04
1,8.45,24.21,3,8.56,24.36,2,8.34,24.26,4,8.32,24.36
2,8.67,32.88,4,8.74,33.10,1,8.60,32.86,3,8.66,33.02
3,9.05,41.925,4,8.88,41.975,1,8.69,41.544,2,8.85,41.867
