Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,6.76,6.76,2,6.96,6.96,4,7.16,7.16,2,6.96,6.96,5,7.29,7.29
1,8.81,15.57,3,8.93,15.89,4,8.82,15.98,2,8.70,15.66,5,8.79,16.08
1,8.27,23.84,4,8.36,24.25,3,8.21,24.19,2,8.24,23.90,5,8.32,24.40
2,8.68,32.52,4,8.65,32.90,3,8.56,32.75,1,8.43,32.33,5,8.57,32.97
2,8.63,41.133,5,8.68,41.569,3,8.50,41.237,1,8.77,41.087,4,8.51,41.462
