Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
4,15.480,15.480,1,15.070,15.070,3,15.290,15.290,2,15.200,15.200
4,12.390,27.870,1,12.200,27.280,3,12.310,27.600,2,12.090,27.290
4,11.880,39.750,1,11.930,39.210,2,11.640,39.240,3,12.280,39.570
4,10.630,50.390,2,10.960,50.180,1,10.690,49.930,3,10.820,50.390
3,10.710,1:01.110,1,10.260,1:00.440,2,10.530,1:00.460,4,10.810,1:01.210
4,10.860,1:11.970,2,10.050,1:10.490,1,9.850,1:10.320,3,9.340,1:10.550
4,11.290,1:23.270,2,9.920,1:20.420,1,10.080,1:20.400,3,10.090,1:20.640
4,11.770,1:35.040,2,9.880,1:30.300,1,9.790,1:30.200,3,10.200,1:30.850
4,12.500,1:47.550,2,10.080,1:40.390,1,10.010,1:40.220,3,9.710,1:40.560
