MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
3,17.38,17.38,4,17.53,17.53,1,17.08,17.08,2,17.20,17.20
3,14.69,32.07,4,14.68,32.21,1,14.75,31.83,2,14.74,31.94
3,14.32,46.39,4,14.34,46.55,1,14.29,46.12,2,14.30,46.24
3,13.19,59.58,4,13.19,59.74,1,13.18,59.30,2,13.19,59.43
1,11.22,1:10.80,2,11.18,1:10.92,4,11.74,1:11.04,3,11.58,1:11.01
1,9.76,1:20.56,3,9.91,1:20.83,4,9.86,1:20.90,2,9.59,1:20.60
1,9.27,1:29.83,4,9.59,1:30.42,3,9.49,1:30.39,2,9.35,1:29.95
1,9.38,1:39.21,3,9.65,1:40.07,4,9.96,1:40.35,2,9.28,1:39.23
2,9.70,1:48.899,3,9.77,1:49.825,4,9.93,1:50.275,1,9.46,1:48.675
