Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME
3,8.74,8.74,4,8.88,8.88,1,8.56,8.56,2,8.65,8.65,5,9.04,9.04,6,9.17,9.17
3,12.78,21.52,4,12.76,21.64,1,12.74,21.30,2,12.75,21.40,5,12.77,21.81,6,12.77,21.94
3,12.20,33.72,5,12.30,33.94,1,12.19,33.49,2,12.19,33.59,6,12.26,34.07,4,11.88,33.82
3,11.92,45.64,5,11.93,45.87,1,11.92,45.41,2,11.92,45.51,6,11.92,45.99,4,11.92,45.74
3,11.54,57.18,5,11.53,57.40,1,11.54,56.95,2,11.53,57.04,6,11.56,57.55,4,11.54,57.28
3,10.88,1:08.06,5,10.92,1:08.32,1,10.90,1:07.85,2,10.89,1:07.93,6,10.91,1:08.46,4,10.91,1:08.19
5,10.08,1:18.14,4,9.71,1:18.03,1,9.96,1:17.81,2,10.06,1:17.99,6,9.88,1:18.34,3,9.82,1:18.01
5,9.60,1:27.74,3,9.40,1:27.43,2,9.52,1:27.33,4,9.58,1:27.57,6,9.80,1:28.14,1,9.13,1:27.14
5,9.24,1:36.98,3,9.32,1:36.75,2,9.35,1:36.68,4,9.27,1:36.84,6,9.79,1:37.93,1,9.44,1:36.58
5,9.70,1:46.68,3,9.69,1:46.44,2,9.66,1:46.34,4,9.72,1:46.56,6,10.04,1:47.97,1,9.66,1:46.24
5,9.72,1:56.40,3,9.75,1:56.19,2,9.76,1:56.10,4,9.65,1:56.21,6,10.34,1:58.31,1,9.78,1:56.02
5,9.90,2:06.30,4,9.92,2:06.11,2,9.83,2:05.93,3,9.83,2:06.04,6,10.74,2:09.05,1,9.90,2:05.92
4,10.23,2:16.53,1,10.01,2:16.12,2,10.45,2:16.38,3,10.41,2:16.45,5,11.69,2:20.74,6,25.20,2:31.12
4,10.10,2:26.623,1,10.15,2:26.269,2,10.10,2:26.380,3,10.02,2:26.465,5,11.69,2:32.424,6,18.68,2:49.794
