KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
3,7.00,7.00,1,6.93,6.93,2,6.97,6.97,4,7.18,7.18,5,7.32,7.32
4,9.18,16.18,1,9.03,15.96,2,9.05,16.02,3,8.93,16.11,5,8.97,16.29
3,8.54,24.72,1,8.52,24.48,2,8.60,24.62,4,8.74,24.85,5,8.65,24.94
2,8.45,33.17,1,8.61,33.09,3,8.64,33.26,4,8.53,33.38,5,8.53,33.47
1,8.65,41.82,2,8.79,41.88,4,8.85,42.103,3,8.69,42.056,5,8.71,42.170
