CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
1,6.88,6.88,2,6.95,6.95,3,6.99,6.99,4,7.10,7.10
1,8.92,15.80,2,8.97,15.92,3,9.03,16.02,4,9.01,16.11
2,8.58,24.38,1,8.36,24.28,3,8.40,24.42,4,8.40,24.51
2,8.60,32.98,1,8.53,32.81,3,8.62,33.04,4,8.59,33.10
3,8.76,41.747,1,8.76,41.57,4,8.72,41.768,0,8.64,41.74
