Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,ROBERTS Isabelle POSITION,ROBERTS Isabelle LAP TIME,ROBERTS Isabelle ELAPSED TIME
4,10.80,10.80,6,10.97,10.97,1,10.36,10.36,2,10.48,10.48,3,10.61,10.61,5,10.94,10.94
4,11.68,22.48,5,11.90,22.87,1,11.77,22.13,2,11.77,22.25,3,11.75,22.36,6,12.08,23.02
4,10.52,33.00,5,10.35,33.22,1,10.58,32.71,2,10.56,32.81,3,10.56,32.92,6,10.29,33.31
4,10.43,43.43,5,10.39,43.61,1,10.45,43.16,2,10.44,43.25,3,10.43,43.35,6,10.42,43.73
4,10.54,53.97,5,10.52,54.13,1,10.47,53.63,2,10.50,53.75,3,10.52,53.87,6,10.49,54.22
4,10.23,1:04.20,5,10.26,1:04.39,1,10.28,1:03.91,2,10.26,1:04.01,3,10.24,1:04.11,6,10.27,1:04.49
4,10.30,1:14.50,5,10.27,1:14.66,1,10.21,1:14.12,2,10.22,1:14.23,3,10.32,1:14.43,6,10.29,1:14.78
3,9.73,1:24.23,4,9.94,1:24.60,1,9.91,1:24.03,2,9.90,1:24.13,5,10.22,1:24.65,6,10.01,1:24.79
3,9.90,1:34.13,4,9.72,1:34.32,1,9.88,1:33.91,2,9.89,1:34.02,6,10.72,1:35.37,5,10.35,1:35.14
3,9.90,1:44.03,4,9.88,1:44.20,1,9.97,1:43.88,2,9.94,1:43.96,6,10.69,1:46.06,5,10.73,1:45.87
2,10.04,1:54.07,4,10.03,1:54.23,1,10.12,1:54.00,3,10.13,1:54.09,6,11.07,1:57.13,5,11.12,1:56.99
1,9.81,2:03.88,3,10.06,2:04.29,2,10.28,2:04.28,4,10.44,2:04.53,6,11.53,2:08.66,5,11.33,2:08.32
1,9.85,2:13.73,2,9.55,2:13.84,3,10.44,2:14.72,4,10.33,2:14.86,6,11.81,2:20.47,5,11.49,2:19.81
1,10.06,2:23.79,2,10.05,2:23.89,4,10.68,2:25.400,3,10.29,2:25.15,6,12.16,2:32.631,5,11.83,2:31.645
