WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Ema ZELINSKA POSITION,Ema ZELINSKA LAP TIME,Ema ZELINSKA ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,Gloria IORIATTI POSITION,Gloria IORIATTI LAP TIME,Gloria IORIATTI ELAPSED TIME,Dione Shu Yen TAN POSITION,Dione Shu Yen TAN LAP TIME,Dione Shu Yen TAN ELAPSED TIME,Eleanora SAMOILAVA POSITION,Eleanora SAMOILAVA LAP TIME,Eleanora SAMOILAVA ELAPSED TIME
2,10.56,10.56,3,10.59,10.59,5,10.75,10.75,6,10.78,10.78,1,10.54,10.54,6,10.78,,4,10.68,10.68
2,14.37,24.93,1,14.22,24.81,6,14.45,25.20,4,14.31,25.09,3,14.48,25.02,5,14.40,,7,14.54,25.22
2,13.17,38.10,1,13.21,38.02,6,13.20,38.40,5,13.28,38.37,4,13.21,38.23,7,13.26,,3,12.92,38.14
1,12.12,50.22,2,12.30,50.32,7,12.40,50.80,5,12.11,50.48,3,12.19,50.42,6,12.10,,4,12.33,50.47
1,11.12,1:01.34,2,11.03,1:01.35,6,10.90,1:01.70,7,11.26,1:01.74,4,11.12,1:01.54,4,11.00,,3,10.93,1:01.40
2,10.45,1:11.79,1,10.36,1:11.71,5,10.36,1:12.06,6,10.45,1:12.19,4,10.45,1:11.99,7,10.87,,3,10.47,1:11.87
2,10.68,1:22.47,1,10.67,1:22.38,5,10.68,1:22.74,6,10.71,1:22.90,4,10.60,1:22.59,7,10.73,,3,10.71,1:22.58
1,10.42,1:32.89,2,10.68,1:33.06,4,10.76,1:33.50,5,10.80,1:33.70,3,10.61,1:33.20,7,11.16,,6,11.13,1:33.71
1,10.37,1:43.26,2,10.31,1:43.37,4,10.59,1:44.09,5,10.54,1:44.24,3,10.29,1:43.49,7,12.49,,6,10.96,1:44.67
1,10.13,1:53.39,2,10.12,1:53.49,4,10.97,1:55.06,5,10.97,1:55.21,3,10.15,1:53.64,7,13.44,,6,11.19,1:55.86
1,10.16,2:03.55,2,10.15,2:03.64,4,11.39,2:06.45,5,11.40,2:06.61,3,10.17,2:03.81,7,15.50,,6,11.54,2:07.40
1,10.16,2:13.71,2,10.18,2:13.82,4,11.81,2:18.26,5,11.73,2:18.34,3,10.39,2:14.20,7,16.17,,6,11.32,2:18.72
2,9.96,2:23.67,1,9.71,2:23.53,5,12.25,2:30.51,6,12.20,2:30.54,3,10.92,2:25.12,7,14.66,,4,11.33,2:30.05
2,10.00,2:33.67,1,10.05,2:33.58,6,14.34,2:44.85,5,11.93,2:42.47,3,11.41,2:36.53,7,19.18,3:05.74,4,12.02,2:42.07
