Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
1,12.80,12.80,2,12.91,12.91,3,13.01,13.01,4,13.11,13.11,5,13.20,13.20
1,9.96,22.76,2,9.97,22.88,3,9.98,22.99,4,9.97,23.08,5,10.00,23.20
1,9.66,32.42,2,9.64,32.52,3,9.63,32.62,4,9.63,32.71,5,9.63,32.83
1,9.45,41.87,2,9.38,41.90,3,9.35,41.97,4,9.40,42.11,5,9.37,42.20
1,9.35,51.22,2,9.41,51.31,3,9.45,51.42,4,9.33,51.44,5,9.39,51.59
2,9.31,1:00.53,1,9.07,1:00.38,4,9.70,1:01.12,3,9.54,1:00.98,5,9.55,1:01.14
2,8.98,1:09.51,1,9.00,1:09.38,5,9.44,1:10.56,3,9.33,1:10.31,4,9.32,1:10.46
2,9.19,1:18.70,1,9.21,1:18.59,5,9.63,1:20.19,3,9.54,1:19.85,4,9.60,1:20.06
2,9.45,1:28.148,1,9.43,1:28.013,5,9.71,1:29.895,3,9.91,1:29.757,4,9.72,1:29.775
