Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Ashwin Calen DSILVA POSITION,Ashwin Calen DSILVA LAP TIME,Ashwin Calen DSILVA ELAPSED TIME,Metehan ATAN POSITION,Metehan ATAN LAP TIME,Metehan ATAN ELAPSED TIME
1,12.51,12.51,3,12.66,12.66,2,12.59,12.59,5,12.83,12.83,6,13.11,13.11,4,12.75,12.75
1,9.98,22.49,3,10.04,22.70,2,9.99,22.58,5,10.13,22.96,6,10.02,23.13,4,10.08,22.83
1,9.98,32.47,3,9.96,32.66,2,9.97,32.55,5,9.93,32.89,6,9.89,33.02,4,9.95,32.78
1,9.66,42.13,3,9.66,42.32,2,9.60,42.15,5,9.68,42.57,6,9.73,42.75,4,9.65,42.43
2,9.26,51.39,3,9.26,51.58,1,9.21,51.36,5,9.20,51.77,6,9.73,52.48,4,9.23,51.66
2,9.28,1:00.67,3,9.20,1:00.78,1,9.15,1:00.51,5,9.27,1:01.04,6,9.87,1:02.35,4,9.20,1:00.86
2,9.01,1:09.68,4,9.22,1:10.00,1,9.07,1:09.58,5,9.32,1:10.36,6,10.13,1:12.48,3,8.93,1:09.79
3,9.17,1:18.85,4,9.21,1:19.21,1,9.01,1:18.59,5,9.36,1:19.72,6,10.43,1:22.91,2,8.94,1:18.73
3,9.37,1:28.227,4,9.25,1:28.463,1,9.15,1:27.74,5,9.70,1:29.428,6,10.81,1:33.721,2,9.07,1:27.802
