Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME,ROSS-WADDELL Kyle POSITION,ROSS-WADDELL Kyle LAP TIME,ROSS-WADDELL Kyle ELAPSED TIME,Bojan BAKA POSITION,Bojan BAKA LAP TIME,Bojan BAKA ELAPSED TIME,CHANG Yu-Chuan POSITION,CHANG Yu-Chuan LAP TIME,CHANG Yu-Chuan ELAPSED TIME
2,7.25,7.25,1,7.13,7.13,4,7.88,7.88,3,7.36,7.36
2,9.33,16.58,1,9.39,16.52,4,10.35,18.23,3,9.72,17.08
1,8.95,25.53,2,9.05,25.57,4,9.95,28.18,3,9.38,26.46
1,9.10,34.63,2,9.30,34.87,4,10.17,38.35,3,9.75,36.21
1,9.11,43.740,2,9.27,44.147,4,10.43,48.783,3,10.30,46.515
