TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME
1,16.83,16.83,3,17.06,17.06,2,16.93,
2,13.27,30.10,1,13.02,30.08,3,13.24,
3,11.51,41.61,1,11.38,41.46,2,11.37,
2,10.21,51.82,1,10.19,51.65,3,10.40,
3,10.17,1:01.99,1,10.10,1:01.75,2,9.94,
3,9.91,1:11.90,1,9.99,1:11.74,2,9.94,
3,10.09,1:21.99,1,10.10,1:21.84,2,10.04,
1,10.38,1:32.37,3,33.55,1:55.39,2,26.80,
1,10.63,1:43.00,3,18.57,2:13.96,2,12.24,
