SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,7.81,7.81,1,7.54,7.54,4,8.61,8.61,3,7.91,7.91
3,9.86,17.67,1,10.04,17.58,4,9.43,18.04,2,9.72,17.63
2,9.65,27.32,4,9.89,27.47,3,9.38,27.42,1,9.40,27.03
3,9.48,36.80,4,9.64,37.11,2,9.36,36.78,1,9.46,36.49
3,9.57,46.370,4,9.79,46.895,2,9.44,46.216,1,9.64,46.125
