LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME
2,8.30,8.30,1,8.29,8.29,3,8.42,8.42,5,8.61,8.61,4,8.47,8.47,6,8.72,8.72,7,9.01,9.01
3,11.65,19.95,4,11.78,20.07,5,11.77,20.19,6,11.75,20.36,2,11.36,19.83,1,11.05,19.77,7,11.52,20.53
3,10.82,30.77,4,10.79,30.86,5,10.82,31.01,6,10.73,31.09,2,10.84,30.67,1,10.83,30.60,7,10.74,31.27
1,10.27,41.04,5,10.52,41.38,6,10.42,41.43,3,10.10,41.19,2,10.45,41.12,4,10.63,41.23,7,10.42,41.69
2,9.48,50.52,6,9.46,50.84,5,9.38,50.81,1,9.23,50.42,4,9.63,50.75,3,9.38,50.61,7,9.42,51.11
1,9.44,59.96,4,9.33,1:00.17,6,9.52,1:00.33,3,9.69,1:00.11,5,9.45,1:00.20,2,9.45,1:00.06,7,9.43,1:00.54
1,9.48,1:09.44,4,9.44,1:09.61,6,9.55,1:09.88,3,9.47,1:09.58,5,9.55,1:09.75,2,9.44,1:09.50,7,9.47,1:10.01
2,9.15,1:18.59,1,8.96,1:18.57,6,9.14,1:19.02,4,9.21,1:18.79,5,9.16,1:18.91,3,9.23,1:18.73,7,9.15,1:19.16
2,9.12,1:27.71,1,9.03,1:27.60,6,9.10,1:28.12,4,9.07,1:27.86,5,9.06,1:27.97,3,9.06,1:27.79,7,9.10,1:28.26
2,9.05,1:36.76,1,9.07,1:36.67,6,9.14,1:37.26,4,9.19,1:37.05,5,9.17,1:37.14,3,9.15,1:36.94,7,9.10,1:37.36
2,9.02,1:45.78,1,9.07,1:45.74,7,9.14,1:46.40,4,9.03,1:46.08,5,9.03,1:46.17,3,9.04,1:45.98,6,8.95,1:46.31
1,9.08,1:54.86,2,9.21,1:54.95,7,9.16,1:55.56,4,9.04,1:55.12,5,9.07,1:55.24,3,9.06,1:55.04,6,9.07,1:55.38
1,9.11,2:03.97,2,9.10,2:04.05,7,9.50,2:05.06,2,8.93,2:04.05,4,8.94,2:04.18,4,9.14,2:04.18,6,8.90,2:04.28
4,9.25,2:13.22,3,9.06,2:13.11,7,11.13,2:16.190,1,8.69,2:12.74,2,8.81,2:12.99,6,9.29,2:13.471,5,9.01,2:13.29
