Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,14.27,,1,14.08,14.08,3,14.26,14.26,5,14.40,14.40,2,14.17,14.17
3,10.37,,2,10.50,24.58,1,10.20,24.46,5,10.46,24.86,4,10.49,24.66
3,10.21,,2,10.17,34.75,1,10.22,34.68,5,10.24,35.10,4,10.33,34.99
2,10.29,,3,10.50,45.25,1,10.35,45.03,5,10.43,45.53,4,10.37,45.36
2,10.24,,3,10.24,55.49,1,10.30,55.33,5,10.21,55.74,4,10.25,55.61
5,24.31,,2,10.05,1:05.54,1,10.14,1:05.47,4,10.04,1:05.78,3,10.03,1:05.64
5,13.72,,2,9.88,1:15.42,3,9.96,1:15.43,4,10.03,1:15.81,1,9.65,1:15.29
5,12.85,,2,9.56,1:24.98,3,9.87,1:25.30,4,10.24,1:26.05,1,9.55,1:24.84
5,11.69,1:57.95,2,9.70,1:34.68,3,9.98,1:35.262,4,10.64,1:36.672,1,9.74,1:34.58
