BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Shota UEMURA POSITION,Shota UEMURA LAP TIME,Shota UEMURA ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,6.80,6.80,2,7.17,7.17,3,7.29,7.29,4,7.29,7.29
1,9.54,16.34,2,9.41,16.58,4,9.55,16.84,3,9.47,16.76
1,9.28,25.62,2,9.08,25.66,4,9.22,26.06,3,8.91,25.67
2,9.56,35.18,4,9.58,35.24,3,9.17,35.23,1,9.42,35.09
2,9.63,44.804,3,9.64,44.878,4,9.75,44.976,1,9.63,44.715
