Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME,Matej FILIP POSITION,Matej FILIP LAP TIME,Matej FILIP ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
2,21.17,21.17,1,21.05,21.05,4,21.55,21.55,3,21.34,21.34
2,17.41,38.58,1,17.41,38.46,4,17.34,38.89,3,17.35,38.69
2,16.14,54.72,1,16.14,54.60,4,16.12,55.01,3,16.19,54.88
2,14.89,1:09.61,1,14.92,1:09.52,4,14.73,1:09.74,3,14.81,1:09.69
1,13.31,1:22.92,2,13.50,1:23.02,4,13.55,1:23.29,3,13.44,1:23.13
1,9.47,1:32.39,2,9.64,1:32.66,4,9.57,1:32.86,3,9.67,1:32.80
1,9.02,1:41.41,2,9.07,1:41.73,4,9.14,1:42.00,3,9.05,1:41.85
1,9.11,1:50.52,2,9.25,1:50.98,4,9.14,1:51.14,3,9.19,1:51.04
1,9.32,1:59.827,4,9.74,2:00.706,3,9.47,2:00.598,2,9.44,2:00.474
