JUNG Jun Ho POSITION,JUNG Jun Ho LAP TIME,JUNG Jun Ho ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Smogar DARKO POSITION,Smogar DARKO LAP TIME,Smogar DARKO ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,LIU Songbo POSITION,LIU Songbo LAP TIME,LIU Songbo ELAPSED TIME
6,10.30,10.30,2,9.60,9.60,5,10.00,10.00,1,9.57,9.57,4,9.84,9.84,3,9.67,9.67
6,12.43,22.73,2,12.46,22.06,5,12.43,22.43,3,12.62,22.19,4,12.43,22.27,1,12.30,21.97
6,11.82,34.55,3,11.91,33.97,4,11.58,34.01,5,11.92,34.11,2,11.69,33.96,1,11.87,33.84
6,11.02,45.57,1,10.80,44.77,4,11.12,45.13,5,11.04,45.15,3,11.00,44.96,2,11.02,44.86
6,11.19,56.76,1,11.17,55.94,5,11.32,56.45,3,11.06,56.21,4,11.34,56.30,2,11.20,56.06
6,10.52,1:07.28,1,10.59,1:06.53,5,10.58,1:07.03,3,10.63,1:06.84,4,10.54,1:06.84,2,10.63,1:06.69
4,9.92,1:17.20,1,10.31,1:16.84,6,10.37,1:17.40,5,10.53,1:17.37,3,10.27,1:17.11,2,10.29,1:16.98
1,9.52,1:26.72,2,10.04,1:26.88,5,9.91,1:27.31,6,10.25,1:27.62,4,10.01,1:27.12,3,10.00,1:26.98
1,9.49,1:36.21,2,9.42,1:36.30,5,9.45,1:36.76,6,10.13,1:37.75,4,9.50,1:36.62,3,9.45,1:36.43
1,9.54,1:45.75,2,9.62,1:45.92,5,9.66,1:46.42,6,10.99,1:48.74,4,9.66,1:46.28,3,9.61,1:46.04
1,9.64,1:55.39,3,9.96,1:55.88,4,9.65,1:56.07,6,12.33,2:01.07,5,10.03,1:56.31,2,9.52,1:55.56
2,9.48,2:04.87,3,9.90,2:05.78,4,9.82,2:05.89,6,13.04,2:14.11,5,11.44,2:07.75,1,9.17,2:04.73
2,9.60,2:14.47,3,10.34,2:16.12,4,10.31,2:16.20,6,13.85,2:27.96,5,13.69,2:21.44,1,9.58,2:14.31
2,9.74,2:24.207,3,10.36,2:26.473,4,10.40,2:26.595,6,13.68,2:41.634,5,14.82,2:36.258,1,9.67,2:23.972
