Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
1,6.54,6.54,2,6.82,6.82,3,6.87,6.87,4,6.89,6.89
1,8.85,15.39,4,9.24,16.06,3,9.09,15.96,2,9.06,15.95
1,8.43,23.82,4,9.73,25.80,2,8.64,24.60,3,8.74,24.70
1,8.54,32.37,4,10.61,36.41,2,8.56,33.16,3,8.55,33.26
1,9.17,41.537,3,11.24,47.641,0,,DQ,2,8.98,42.239
